DST2510*01RRX020   0 -65 -73 -75 -67 -63 -72 -70 -63 -72 -57 -47 -44 -45 -51 -56 -55 -52 -54 -61 -67 -65 -62 -51 -45 -60
DST2510*02RRX020   0 -46 -68 -77 -71 -70 -84 -74 -71 -77 -73 -62 -68 -67 -67 -62 -53 -51 -52 -53 -48 -46 -57 -59 -57 -63
DST2510*03RRX020   0 -55 -61 -65 -65 -61 -55 -60 -55 -55999999999999999999999999999999999999999999999999999999999999 -59
DST2510*04RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*05RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*06RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*07RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*08RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*09RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*10RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*11RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*12RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*13RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*14RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*15RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*16RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*17RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*18RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*19RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*20RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*21RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*22RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*23RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*24RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*25RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*26RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*27RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*28RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*29RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*30RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
DST2510*31RRX020   09999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999

[Created at Fri Oct 3 09:00:06 UTC 2025]
